name,count,collection,eod,eodnum,tops,th,gs_tops_mm,snd_shl,mean_gs_mm,max_gs_mm,ng,ar,depth_m,grain_size_mm
Karoo krf3,3,Skoorsteenberg,fan,1,8.166798888,0.539042589,0.126825307,1,0.126825307,0.126825307,0.877900647,0.095238095,"8.1668,7.6278,","0.1268,0.1268,"
Karoo krf3,3,Skoorsteenberg,fan,1,7.6277563,0.3611062,0.126316862,1,0.126316862,0.126316862,0.877900647,0.095238095,"7.6278,7.2667,","0.1263,0.1263,"
Karoo krf3,3,Skoorsteenberg,fan,1,7.266650099,0.070880346,0.03125,0,0.03125,0.03125,0.877900647,0.095238095,"7.2667,7.1958,","0.0583,0.0583,"
Karoo krf3,3,Skoorsteenberg,fan,1,7.195769754,0.106995716,0.131190525,1,0.131190525,0.131190525,0.877900647,0.095238095,"7.1958,7.0888,","0.1312,0.1312,"
Karoo krf3,3,Skoorsteenberg,fan,1,7.088774038,0.092536835,0.03125,0,0.03125,0.03125,0.877900647,0.095238095,"7.0888,6.9962,","0.0625,0.0625,"
Karoo krf3,3,Skoorsteenberg,fan,1,6.996237203,0.046268418,0.119512903,1,0.119512903,0.119512903,0.877900647,0.095238095,"6.9962,6.9500,","0.1195,0.1195,"
Karoo krf3,3,Skoorsteenberg,fan,1,6.949968785,0.057835522,0.03125,0,0.03125,0.03125,0.877900647,0.095238095,"6.9500,6.8921,","0.0625,0.0625,"
Karoo krf3,3,Skoorsteenberg,fan,1,6.892133263,0.318095371,0.177421158,1,0.177421158,0.177421158,0.877900647,0.095238095,"6.8921,6.5740,","0.1774,0.1774,"
Karoo krf3,3,Skoorsteenberg,fan,1,6.574037892,0.031809537,0.03125,0,0.03125,0.03125,0.877900647,0.095238095,"6.5740,6.5422,","0.0583,0.0583,"
Karoo krf3,3,Skoorsteenberg,fan,1,6.542228355,0.112779268,0.138368834,1,0.138368834,0.138368834,0.877900647,0.095238095,"6.5422,6.4294,","0.1384,0.1384,"
Karoo krf3,3,Skoorsteenberg,fan,1,6.429449087,0.092536835,0.03125,0,0.03125,0.03125,0.877900647,0.095238095,"6.4294,6.3369,","0.0583,0.0583,"
Karoo krf3,3,Skoorsteenberg,fan,1,6.336912252,0.040484865,0.126052252,1,0.126052252,0.126052252,0.877900647,0.095238095,"6.3369,6.2964,","0.1261,0.1261,"
Karoo krf3,3,Skoorsteenberg,fan,1,6.296427387,0.196640775,0.03125,0,0.03125,0.03125,0.877900647,0.095238095,"6.2964,6.0998,","0.0583,0.0583,"
